Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
USDHUF,EM,Dist_MA20,Nouvelle,5j,-0.0229,-0.737,-1,0.2548,2471,26%,0.2562,-2.875,JETTE
USDHUF,EM,Vol_20,Existante,20j,-0.0359,-0.469,-1,0.0749,2456,35%,0.35,-2.875,FILTRE
USDHUF,EM,Hurst,Existante,20j,0.0059,-0.001,1,0.7684,2456,51%,0.5083,-2.875,JETTE
USDHUF,EM,Mom_20,Nouvelle,20j,0.0028,-0.301,1,0.8909,2456,41%,0.4083,-2.875,JETTE
USDHUF,EM,Mom_60,Nouvelle,20j,0.0041,-0.571,1,0.8394,2456,32%,0.3167,-2.875,JETTE
USDHUF,EM,Mom_120,Nouvelle,20j,0.0098,-0.772,1,0.6278,2456,21%,0.2083,-2.875,JETTE
USDHUF,EM,Mom_Ratio,Nouvelle,20j,0.0021,-0.027,1,0.9183,2456,48%,0.475,-2.875,JETTE
USDHUF,EM,BB_Width,Nouvelle,20j,-0.0144,-0.36,-1,0.4767,2456,36%,0.3583,-2.875,JETTE
USDHUF,EM,Dist_MA20,Nouvelle,20j,0.0037,-0.117,1,0.8543,2456,42%,0.425,-2.875,JETTE
USDILS,EM,Vol_20,Existante,5j,0.0231,0.011,1,0.2513,2470,54%,0.5372,-0.875,JETTE
USDILS,EM,Hurst,Existante,5j,0.02,0.13,1,0.32,2470,54%,0.5372,-0.875,JETTE
USDILS,EM,Mom_20,Nouvelle,5j,-0.0189,-0.635,-1,0.348,2470,27%,0.2727,-0.875,JETTE
USDILS,EM,Mom_60,Nouvelle,5j,-0.0092,-1.545,-1,0.6466,2470,7%,0.0661,-0.875,JETTE
USDILS,EM,Mom_120,Nouvelle,5j,0.0008,-1.592,1,0.9683,2470,7%,0.0661,-0.875,JETTE
USDILS,EM,Mom_Ratio,Nouvelle,5j,-0.0266,-0.558,-1,0.186,2470,26%,0.2645,-0.875,JETTE
USDILS,EM,BB_Width,Nouvelle,5j,0.0087,-0.139,1,0.6662,2470,46%,0.4628,-0.875,JETTE
USDILS,EM,Dist_MA20,Nouvelle,5j,0.0019,-0.424,1,0.9251,2470,31%,0.314,-0.875,JETTE
